 
 ********** RST CALC OUTPUT FOR DATA FILE - MICROSTN.DAT *********
 
 THERE ARE  8  POPULATIONS AND  24  LOCI, NMAX= 20 
 
 LOCUS VARIANCES IN EACH POPULATION:
 
    POP       LOCUS          VARIANCE     MEAN ALELLE  SAMPLE SIZE
 
    PAV       4_149           1.88888       -0.37230       40 
    PAV       4_315           0.43691        0.01637       40 
    PAV       4_103           1.22030        0.64694       40 
    PAV       4_104           1.14415        0.72484       40 
    PAV       4_264           2.94121       -1.26064       40 
    PAV       4_235           2.59522        0.81442       40 
    PAV       4_181           1.25952        0.38404       40 
    PAV       4_227           0.17659       -0.97856       40 
    PAV       6_86            0.34198        0.50882       40 
    PAV       6_166           1.29661       -0.23594       40 
    PAV       6_138           0.45107       -0.56467       40 
    PAV       6_296           0.29273       -0.28728       40 
    PAV       6_157           1.84417       -0.13289       40 
 
 
 ******************* TOTAL POPULATION COMPARISON *******************
 
 RHO VALUES OVER ALL POPULATIONS: 
 
 LOCUS           MEAN     TOTAL       MEAN         SA        SW         RHO
                ALLELE    SAMPLE     SAMPLE                                
 1_317         -0.00000   318       39.74843    0.04067    0.95986   0.04065
 1_64           0.00000   318       39.74843    0.51438    0.54570   0.48523
 1_316         -0.00000   318       39.74843    0.15138    0.86460   0.14900
 1_58          -0.00000   318       39.74843    0.62465    0.45214   0.58011
 1_295          0.00000   312       38.99268    0.60627    0.46972   0.56345
 3_60          -0.00000   320       40.00000    0.51640    0.54674   0.48573
 3_117          0.00000   320       40.00000    0.67110    0.41095   0.62021
 3_149         -0.00000   320       40.00000    0.52662    0.53776   0.49476
 3_221         -0.00000   320       40.00000    0.47396    0.58399   0.44800
 3_269         -0.00000   320       40.00000    0.53899    0.52690   0.50567
 3_265          0.00000   320       40.00000    0.35300    0.69016   0.33839
 4_149          0.00000   320       40.00000    0.26026    0.77155   0.25224
 4_315          0.00000   320       40.00000    0.57737    0.49322   0.53930
 4_103         -0.00000   320       40.00000    0.68329    0.40025   0.63061
 4_104          0.00000   320       40.00000    0.56099    0.50760   0.52498
 4_264         -0.00000   320       40.00000    0.38922    0.65836   0.37154
 4_235          0.00000   318       39.74843    0.32823    0.70757   0.31689
 4_181          0.00000   318       39.74843    0.12678    0.89131   0.12453
 4_227          0.00000   314       39.24295    0.63814    0.44380   0.58981
 6_86          -0.00000   318       39.74843    0.50803    0.55408   0.47832
 6_166          0.00000   318       39.74843    0.33355    0.70688   0.32059
 6_138          0.00000   318       39.74843    0.19986    0.82210   0.19557
 6_296         -0.00000   318       39.74843    0.12717    0.89438   0.12449
 6_157          0.00000   320       40.00000    0.30033    0.73639   0.28970
 
 
   RHO (AVERGING VAR  COMP)=  0.39841 : Nm=  0.37749   P= 0.00000
   RHO (AVERAGED OVER LOCI)=  0.39457 : Nm=  0.38360   P= 0.00000
 
    NUMBER OF PERMUTATIONS= 100 
 
 

 
 
 ****************** BOOTSTRAP RESULTS FOR RHO & Nm VALUES ****************
 
 
 RESULTS FOR RHO & Nm CALCULATED OVER ALL POPULATIONS
 
