MOUSE   MICROSAT    DATA    FOR RST ANALYSIS                                        
 8 
 20 
 8 
 20 
 20 
 20 
 20 
 20 
 20 
 20 
 20 
4_149                                                           
 2 
 149 
4_315                                                           
 2 
 315 
4_103                                                           
 2 
 103 
4_104                                                           
 2 
 104 
4_264                                                           
 2 
 264 
4_235                                                           
 2 
 235 
4_181                                                           
 2 
 181 
4_227                                                           
 2 
 227 
POS                                                         
 4.580558836460114E-002   .4473861455917358   .3450647294521332   .3450647294521332  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .4610231220722198  -.2142680883407593   1.209949135780334  -.5466164946556091  -.2389626801013947   .7331331372261047   1.037434101104736   
 .4473861455917358   .4473861455917358  -.3083113133907318   .3450647294521332  -.4204955697059631   2.805681228637695  -.1703179031610489  -.1703179031610489   .2582363188266754   .4610231220722198  -.4177277088165283   1.209949135780334  -.5466164946556091  -.2389626801013947  -1.396973729133606   .7331331372261047   
 .4473861455917358   .4473861455917358   .3450647294521332   1.325128793716431  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .6638099551200867  -.2142680883407593   1.209949135780334  -.5466164946556091  -.5466164946556091   .7331331372261047   .8852836489677429   
 .4473861455917358   .4473861455917358  -.3083113133907318   .3450647294521332  -.4204955697059631   2.805681228637695  -.1703179031610489  -.1703179031610489   .2582363188266754   .4610231220722198  -.4177277088165283   1.209949135780334  -.5466164946556091  -.2389626801013947  -1.396973729133606   .7331331372261047   
-.7573555111885071  -.7573555111885071   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
-.7573555111885071  -.7573555111885071   1.837669871747494E-002   1.837669871747494E-002  -.6893436312675476  -.6893436312675476  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283   .6839988827705383   .6839988827705383   1.037434101104736   1.037434101104736   
 .4473861455917358   .4473861455917358   .9984407424926758   .9984407424926758  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002   .8852836489677429   .8852836489677429   
-.7573555111885071  -.7573555111885071   1.837669871747494E-002   1.837669871747494E-002  -.6893436312675476  -.6893436312675476  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283   .6839988827705383   .6839988827705383   1.037434101104736   1.037434101104736   
-.7573555111885071   .4473861455917358   1.837669871747494E-002   .6717527508735657  -.6893436312675476  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .6638099551200867  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   .6839988827705383  -1.396973729133606   1.037434101104736   
 .4473861455917358   .4473861455917358   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489   .1070459634065628   5.544951558113098E-002   .6638099551200867  -.8246469497680664  -.4177277088165283  -.8542703986167908   6.869117915630341E-002  -1.549124240875244   1.037434101104736   
-.3557749688625336   .4473861455917358   1.837669871747494E-002   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .2582363188266754  -.4177277088165283   1.209949135780334  -.5466164946556091  -.5466164946556091  -.4840707778930664   1.646036148071289   
-.7573555111885071  -.7573555111885071   1.837669871747494E-002   1.837669871747494E-002  -.6893436312675476  -.6893436312675476  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283   .6839988827705383   .6839988827705383   1.037434101104736   1.037434101104736   
-.7573555111885071   .4473861455917358   1.837669871747494E-002   .9984407424926758  -.6893436312675476  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .6638099551200867  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   .6839988827705383  -1.396973729133606   1.037434101104736   
-.7573555111885071   .4473861455917358   1.837669871747494E-002   .6717527508735657  -.6893436312675476  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .6638099551200867  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   .6839988827705383  -1.396973729133606   1.037434101104736   
 .4473861455917358   .4473861455917358   .6717527508735657   1.651816725730896  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .6638099551200867  -.4177277088165283  -1.080848090350628E-002   6.869117915630341E-002   .3763450384140015  -1.396973729133606   1.189584612846375   
-.7573555111885071   .4473861455917358   1.837669871747494E-002   .9984407424926758  -.6893436312675476  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .4610231220722198  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   .6839988827705383   1.037434101104736   1.037434101104736   
 .4473861455917358   .4473861455917358   .6717527508735657   .9984407424926758  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .6638099551200867  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002  -1.396973729133606  -1.396973729133606   
-.7573555111885071   .4473861455917358   1.837669871747494E-002   .6717527508735657  -.6893436312675476  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .6638099551200867  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   .6839988827705383  -1.396973729133606   1.037434101104736   
 .4473861455917358   .4473861455917358   1.837669871747494E-002   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .8665967583656311  -.4177277088165283  -1.080848090350628E-002   6.869117915630341E-002   6.869117915630341E-002  -.4840707778930664   .7331331372261047   
GAL                                                         
-.7573555111885071  -.7573555111885071   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
 7.876626014709473   1.250547170639038   1.325128793716431  -.6349993348121643  -1.361463785171509  -.4204955697059631  -16.39610290527344  -.1703179031610489   11.31011772155762   5.544951558113098E-002   2.22724723815918  -10.59070777893066   0   0   0   0   
-.7573555111885071  -.7573555111885071   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
 .4473861455917358   1.250547170639038  -.6349993348121643   1.651816725730896  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .4610231220722198  -.4177277088165283  -.2142680883407593  -3.007847309112549  -3.007847309112549   .5809826850891113   .8852836489677429   
 .848966658115387   1.250547170639038  -.6349993348121643  -.3083113133907318  -.4204955697059631  -.1516475230455399  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .6638099551200867  -.4177277088165283  -.4177277088165283  -.2389626801013947   .6839988827705383  -.3319202959537506   .2766816914081573   
 .848966658115387   .848966658115387  -.3083113133907318  -.3083113133907318  -.1516475230455399  -.1516475230455399  -.1703179031610489  -.1703179031610489   .6638099551200867   .6638099551200867  -.4177277088165283  -.4177277088165283  -.2389626801013947  -.2389626801013947  -.3319202959537506  -.3319202959537506   
 .848966658115387   1.250547170639038  -.6349993348121643  -.3083113133907318  -.4204955697059631  -.1516475230455399  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .6638099551200867  -.4177277088165283  -.4177277088165283  -.2389626801013947   .6839988827705383  -.3319202959537506   .2766816914081573   
 .4473861455917358   1.250547170639038  -.6349993348121643   1.651816725730896  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .4610231220722198  -.4177277088165283  -.2142680883407593  -3.007847309112549  -3.007847309112549   .5809826850891113   .8852836489677429   
 1.250547170639038   1.250547170639038  -.6349993348121643  -.6349993348121643  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .4610231220722198  -.4177277088165283  -.4177277088165283  -3.007847309112549   .6839988827705383   .2766816914081573   .8852836489677429   
 .848966658115387   1.250547170639038  -.6349993348121643  -.3083113133907318  -.4204955697059631  -.1516475230455399  -.1703179031610489  -.1703179031610489   .4610231220722198   .6638099551200867  -.4177277088165283  -.4177277088165283  -3.007847309112549  -.2389626801013947  -.3319202959537506   .8852836489677429   
-.3557749688625336   .848966658115387   .6717527508735657   .6717527508735657  -.4204955697059631  -.1516475230455399  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .8665967583656311  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .8852836489677429   1.037434101104736   
 .848966658115387   1.250547170639038   .6717527508735657   .6717527508735657  -.1516475230455399  -.1516475230455399  -.1703179031610489  -.1703179031610489   .4610231220722198   .6638099551200867  -.4177277088165283  -.2142680883407593  -3.007847309112549  -.2389626801013947  -1.396973729133606   1.189584612846375   
 .848966658115387   .848966658115387   .6717527508735657   .9984407424926758  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .6638099551200867   .8665967583656311  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .8852836489677429   1.341735124588013   
 .848966658115387   .848966658115387   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .8665967583656311   .8665967583656311  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .8852836489677429   .8852836489677429   
 .848966658115387   .848966658115387   .6717527508735657   .9984407424926758  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .6638099551200867   .8665967583656311  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .8852836489677429   1.341735124588013   
 .848966658115387   .848966658115387   .9984407424926758   .9984407424926758  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .6638099551200867   .6638099551200867  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   1.341735124588013   1.341735124588013   
 .848966658115387   .848966658115387   .6717527508735657   .9984407424926758  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .8665967583656311  -.4177277088165283  -.4177277088165283  -.5466164946556091   6.869117915630341E-002   .8852836489677429   1.493885636329651   
 .848966658115387   .848966658115387   .6717527508735657   .6717527508735657  -.1516475230455399  -.1516475230455399  -.1703179031610489  -.1703179031610489   .6638099551200867   .6638099551200867  -.4177277088165283  -.4177277088165283  -.2389626801013947  -.2389626801013947   1.189584612846375   1.189584612846375   
 .848966658115387   .848966658115387   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .8665967583656311   .8665967583656311  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .8852836489677429   .8852836489677429   
 4.580558836460114E-002   .848966658115387   .6717527508735657   1.325128793716431  -.4204955697059631  -.1516475230455399  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091   6.869117915630341E-002  -.788371741771698   .5809826850891113   
BIN                                                         
 .4473861455917358   .4473861455917358   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -1.080848090350628E-002  -1.080848090350628E-002   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
-.7573555111885071  -.7573555111885071   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
 .4473861455917358   .4473861455917358  -.6349993348121643   .3450647294521332  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .4610231220722198  -.4177277088165283  -.4177277088165283  -.2389626801013947   .3763450384140015   .8852836489677429   1.189584612846375   
 .4473861455917358   .4473861455917358  -.6349993348121643   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -1.080848090350628E-002   6.869117915630341E-002   .3763450384140015   .7331331372261047   1.189584612846375   
 .4473861455917358   .4473861455917358   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -1.080848090350628E-002  -1.080848090350628E-002   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
 .4473861455917358   .4473861455917358   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -1.080848090350628E-002  -1.080848090350628E-002   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
 .4473861455917358   .4473861455917358   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -1.080848090350628E-002  -1.080848090350628E-002   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
 .4473861455917358   .4473861455917358   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -1.080848090350628E-002  -1.080848090350628E-002   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
 .4473861455917358   .4473861455917358   1.837669871747494E-002   .3450647294521332  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .4610231220722198  -.2142680883407593  -1.080848090350628E-002   6.869117915630341E-002   .9916527271270752   .5809826850891113   .7331331372261047   
 .4473861455917358   .4473861455917358   1.651816725730896   1.651816725730896  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -1.080848090350628E-002  -1.080848090350628E-002   .3763450384140015   .3763450384140015   1.189584612846375   1.189584612846375   
 4.580558836460114E-002   .4473861455917358   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489   .661773681640625  -.9584845304489136   .2582363188266754  -.4177277088165283   1.616868376731873  -.5466164946556091   6.869117915630341E-002   .7331331372261047   1.037434101104736   
