MOUSE   MICROSAT    DATA    FOR RST ANALYSIS                                        
 8 
 20 
 8 
 20 
 20 
 20 
 20 
 20 
 20 
 20 
 20 
4_149                                                           
 2 
 149 
4_315                                                           
 2 
 315 
4_103                                                           
 2 
 103 
4_104                                                           
 2 
 104 
4_264                                                           
 2 
 264 
4_235                                                           
 2 
 235 
4_181                                                           
 2 
 181 
4_227                                                           
 2 
 227 
POS                                                         
 4.580558836460114E-002   .4473861455917358  -1.94175136089325   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489   .661773681640625  -.9584845304489136   5.544951558113098E-002  -.2142680883407593   .8030299544334412  -.8542703986167908  -.5466164946556091  -1.701274752616882  -1.09267270565033   
 4.580558836460114E-002   2.05370831489563  -1.94175136089325  -1.615063428878784  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .4610231220722198  -.4177277088165283   .8030299544334412  -.5466164946556091   .9916527271270752  -1.701274752616882  -1.701274752616882   
-.3557749688625336   4.580558836460114E-002  -1.94175136089325   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .2582363188266754  -.4177277088165283   .8030299544334412  -.5466164946556091  -.2389626801013947  -1.701274752616882   .4288321733474731   
 4.580558836460114E-002   4.580558836460114E-002  -1.94175136089325  -1.94175136089325  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   5.544951558113098E-002   .8030299544334412   .8030299544334412  -.5466164946556091  -.5466164946556091  -1.701274752616882  -1.701274752616882   
-.7573555111885071   .4473861455917358  -1.94175136089325   1.837669871747494E-002  -.6893436312675476  -.4204955697059631   .9391375184059143   .9391375184059143  -.3501240909099579  -.3501240909099579  -.4177277088165283  -.4177277088165283   1.606960415840149   1.606960415840149  -.4840707778930664  -.4840707778930664   
 .4473861455917358   .4473861455917358   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631   .661773681640625   .661773681640625  -.9584845304489136  -.9584845304489136  -.2142680883407593  -.2142680883407593  -.8542703986167908  -.8542703986167908  -1.09267270565033  -1.09267270565033   
 .4473861455917358   .4473861455917358  -1.94175136089325   1.837669871747494E-002  -.4204955697059631  -.4204955697059631   .661773681640625   .9391375184059143  -.9584845304489136  -.3501240909099579  -.4177277088165283  -.2142680883407593  -.8542703986167908   1.606960415840149  -1.09267270565033  -.4840707778930664   
-.7573555111885071   4.580558836460114E-002   1.837669871747494E-002   .3450647294521332  -.6893436312675476  -.6893436312675476   .661773681640625   .9391375184059143  -1.972418546676636  -.3501240909099579  -.4177277088165283   2.22724723815918   1.299306631088257   1.606960415840149  -.4840707778930664   1.189584612846375   
-.7573555111885071   4.580558836460114E-002   1.837669871747494E-002   .3450647294521332  -.6893436312675476  -.6893436312675476   .661773681640625   .9391375184059143  -1.972418546676636  -.3501240909099579  -.4177277088165283   2.22724723815918   1.299306631088257   1.606960415840149  -.4840707778930664   1.189584612846375   
 4.580558836460114E-002   4.580558836460114E-002  -1.94175136089325  -1.94175136089325  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   5.544951558113098E-002   .8030299544334412   .8030299544334412  -.5466164946556091  -.5466164946556091  -1.701274752616882  -1.701274752616882   
 4.580558836460114E-002   4.580558836460114E-002  -1.94175136089325  -1.94175136089325  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   5.544951558113098E-002   .8030299544334412   .8030299544334412  -.5466164946556091  -.5466164946556091  -1.701274752616882  -1.701274752616882   
 4.580558836460114E-002   .4473861455917358  -1.94175136089325   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489   .661773681640625  -.9584845304489136   5.544951558113098E-002  -.2142680883407593   .8030299544334412  -.8542703986167908  -.5466164946556091  -1.701274752616882  -1.09267270565033   
 .4473861455917358   .4473861455917358   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631   .661773681640625   .661773681640625  -.9584845304489136  -.9584845304489136  -.2142680883407593  -.2142680883407593  -.8542703986167908  -.8542703986167908  -1.09267270565033  -1.09267270565033   
 4.580558836460114E-002   4.580558836460114E-002  -1.94175136089325  -1.94175136089325  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   5.544951558113098E-002   .8030299544334412   .8030299544334412  -.5466164946556091  -.5466164946556091  -1.701274752616882  -1.701274752616882   
 2.05370831489563   2.05370831489563  -1.615063428878784  -1.615063428878784  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -.4177277088165283   .9916527271270752   .9916527271270752   0   0   
-1.560516595840454   2.05370831489563  -1.615063428878784   1.837669871747494E-002  -.6893436312675476  -.4204955697059631  -.1703179031610489   .9391375184059143  -.3501240909099579   .4610231220722198  -.4177277088165283  -.4177277088165283   .9916527271270752   1.606960415840149  -.4840707778930664  -.4840707778930664   
 2.05370831489563   2.05370831489563  -1.615063428878784  -1.615063428878784  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -.4177277088165283   .9916527271270752   .9916527271270752   0   0   
-1.560516595840454   2.05370831489563  -1.615063428878784   1.837669871747494E-002  -.6893436312675476  -.4204955697059631  -.1703179031610489   .9391375184059143  -.3501240909099579   .4610231220722198  -.4177277088165283  -.4177277088165283   .9916527271270752   1.606960415840149  -.4840707778930664  -.4840707778930664   
-1.560516595840454   2.05370831489563  -1.615063428878784   1.837669871747494E-002  -.6893436312675476  -.4204955697059631  -.1703179031610489   .9391375184059143  -.3501240909099579   .4610231220722198  -.4177277088165283  -.4177277088165283   .9916527271270752   1.606960415840149  -.4840707778930664  -.4840707778930664   
CRE                                                         
-.3557749688625336   .4473861455917358   .3450647294521332   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .6638099551200867  -.4177277088165283  -.4177277088165283  -.5466164946556091   6.869117915630341E-002  -1.396973729133606   1.341735124588013   
